Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Urdu,Fiction,A-136,1st
18-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Urdu,Prose,A-236,2nd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Urdu,History of Urdu Literature & Criticism,A-436,3rd
18-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Operation Research,I-301,2nd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,Indian Philosophy,A-124,1st
18-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Philosophy,Ethics (Indian & Western),A-224,2nd
18-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,VI Philosophy of Religion,A-424,3rd
19-Mar-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Prachin Evam Madhyakaleen Kavya,A-113,1st
19-Mar-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Hindi,Adhunik Hindi Kavya,A-213,2nd
19-Mar-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Adhyatan Hindi Evam Kaurvi Lok Kavya,A-313,1st
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Algebra & Trigonometry,A-126,1st
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Algebra & Trigonometry,B-126,1st
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Maths,Linear Algebra and Matrices,A-226,2nd
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Maths,Linear Algebra and Matrices,B-226,2nd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Analysis,A-326,3rd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Analysis,B-326,3rd
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Research Methodology,I-302,2nd
