Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,I,Bio-Technology,0128701,Bio-chemistry
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,I,Microbiology,0128801,Fundamentals of Microbiology
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,I,"Physical Education, Health Education & Sports",0159001,Foundation of Physical Education
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,I,Education,0158001,Contemporary India and Education
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,I,Education,0158601,a) Hindi (Ancient & Medieval Poetry)
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,I,Education,0158603,b) English (Poetry)
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,I,Education,0158701,a) Mechanics
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,I,Education,0158705,"b) Algae, Lichens and Bryophytes "
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,I,Education,0158901,Child Development
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,I,Education,0158201,"History, Principles and Foundation of Physical Education "
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.F.A.,I,Art,0118604,Environmental Studies
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,II,Bio-Technology,0228701,Fundamentals of Computers & Bio-informatics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,II,Microbiology,0228801,Cell Biology
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,II,"Physical Education, Health Education & Sports",0259001,Language Comm. & Writing Skill-Sanskrit
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,II,Education,0258001,Creating an Inclusive School
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,II,Education,0258601,a) Hindi (Modern Hindi Poetry)
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,II,Education,0258611,b) Economics (National Income Analysis Money & Banking)
