Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128701,Bio-chemistry
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128801,Fundamentals of Microbiology
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0159001,Foundation of Physical Education
24-Apr-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158001,Contemporary India and Education
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158601,a) ????? (??????? ??? ????????? ?????)
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.A. B.Ed.,1st,Education,0158603,b) English (Poetry)
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158701,a) Mechanics
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.Sc. B.Ed.,1st,Education,0158705,"b) Algae, Lichens and Bryophytes "
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.El.Ed.,1st,Education,0158901,Child Development
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.P.Ed.,1st,Education,0158201,"History, Principles and Foundation of Physical Education "
27-Mar-26,Friday,Shift-I (11:00 AM - 02:00 PM),B.F.A.,1st,Art,0118604,Environmental Studies
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Bio-Technology,0228701,Fundamentals of Computers & Bio-informatics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,Microbiology,0228801,Cell Biology
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc.,2nd,"Physical Education, Health Education & Sports",0259001,Language Comm. & Writing Skill-Sanskrit
13-Apr-26,Monday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258001,Creating an Inclusive School
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258601,a) Hindi ????? (?????? ????? ?????)
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258611,b) Economics (National Income Analysis Money & Banking)
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258701,a) Electromagnetics
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258705,"b) Palaeobotany, Pteridophytes and Gymnosperms "
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,2nd,Education,0258901,Learning Among Elementary Children
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258201,Sports Training
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.El.Ed.,4th,Education,0458901,Curriculum Studies
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.F.A.,4th,Art,0418601,History of Modern Indian Art
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,4th,Education,0458601,Teaching of Social Science
27-Mar-26,Friday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458701,1-Statistical Mechanics & Thermal Physics
