Name of Center,Attached Colleges,District,Course,Subject,Subject Code,Date,Time
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0003-D.J.COLLEGE, BARAUT (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0005-SAMRAT PRITHVIRAJ CHAUHAN DEGREE COLLEGE, BAGHPAT,",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0022-M.M. DEGREE COLLEGE, KHEKHRA (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0147-DHARAMPAL SINGH DEGREE COLLEGE, ADAMPUR, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0135-BARAUT COLLEGE OF EDUCATION, GURANA, AMINAGAR SARAI ROAD, BARAUT (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0154-SETH TARIF SINGH JAIN COLLEGE, KHATTA PRAHLAD PUR, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0178-GAYTARI DEVI COLLEGE OF EDUCATION, MALAKPUR ROAD, BARAUT (BAGHPAT)",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)",0207-,Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)",0264-,Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","0508-S.P.S. COLLEGE OF HIGHER EDUCATION, (NEAR-RAMALA SUGUR MILL)] BARAUT, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,,
"0003-D.J.COLLEGE, BARAUT (BAGHPAT)","1097-JAIN GIRLS DEGREE COLLEGE, KHEKHRA, BAGHPAT",Baghpat,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0009-SYANA DEGREE COLELGE, VILL-GHANSOORPUR, POST BHASORA, TH. SYANA, DISTT. BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0014-SMT DILAWARI DEVI KISAN KANYA P.G. COLLEGE, CHINGRAWATHI, BULANDSHSHAR,",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0031-D.N. COLLEGE, GULAOWATHI (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0088-J.S. COLLEGE, SIKANDRABAD (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0001-D.P.B.S DEGREE COLLEGE, ANOOPSHAHR, (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0112-RAGHUWAR DAYAL PRABHU DAYAL GIRLS (P.G.) COLLEGE, BHAIPUR DORAHA, JAHANGIRABAD, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0123-CH. HARCHAND SINGH MAHAVIDYALYA, GOTNI, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0137-MAHARAJA AGRASEN COLL. OF HIGHER EDUCATION, 5 KM. SIYANA-GARH ROAD, PO-SARAI, CHABBILA, BULAND",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0140-GOVERNMENT MAHAVIDYALA, BIBINAGAR (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0166-SHRI RAM INSTITUTE OF MGMT & TECHNOLOGY, NH-93, RAILWAY ROAD, DIBAI, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",0177- ,Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0211-SCHOOL OF BUSINESS MANAGEMENT AND TECHNOLOGY, (SBMT) CAMPUS 11TH STONE, NH-91, KHURJA ROAD, BUL",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0231-RAGHUWAR DAYAL PRABHU DAYAL INSTITURE OF HIGHER EDUCATION, SHEKHUPUR RORA, BHAIPUR DORAHA, JAH",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0292-NATRAJ INSTITUTE OF EDUCATION & TECHNOLOGY, PUTHA DAULATPUR, JAHANGIRABAD, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)","0615-BRAHMANAND MAHAVIDYALAYA, BULANDSHAHR-KHURJA ROAD, BULANDSHAHR",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0093-AGRASEN. (P.G.) COLLEGE, SIKANDRABAD (BULANDSHAHR)",1011-,Bulandhshahr,M.Com.,M.Com.,I-304,,
"0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)","0042-N.R.E.C. COLLEGE, KHURJA (BULANDSHAHR)",Bulandhshahr,M.Com.,M.Com.,I-304,,
"0007-I.P.COLLEGE, BULANDSHAHR","0007-I.P.COLLEGE, BULANDSHAHAR",Bulandhshahr,M.Com.,M.Com.,I-304,"Saturday, 23 May 2026",10:00 AM Onwards
"0019-M.M.H. COLLEGE, GHAZIABAD","0019-M.M.H. COLLEGE, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0038-SH. DRONA CHARYA DEGREE COLLEGE, KALANDI MARGE, DANKAUR, GAUTAMBUDH NAGAR",Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0146-COLLEGE OF EDUCATION, BILASPUR (GREATER NOIDA)",Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0224-PARSANDI DEVI COLLEGE OF MANAGEMENT & TECHNOLOGY, BILASHPUR, GREATER NOIDA",Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD",0362-KESHAV MADHAV VIDHI SHIKSHAN SANSHTHAN VILL. & POST - DHOOM MANIKPUR DADRI GAUTAMBUDH NAGAR,Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0833-JANHIT INSTITUTE OF EDUCATION & INFORMATION, 38-B, PHASE-1, KNOWLEGE PARK-I, GARTER NOIDA",Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0977-CHET RAM SHARMA COLLEGE OF EDUCATION, SADARPUR, SECTOR-44, NOIDA",Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0020-M.B. COLLEGE, DADRI (G.B. NAGAR)",Noida,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0024-S.D. COLLEGE, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,,
"0019-M.M.H. COLLEGE, GHAZIABAD","0025-V.M.L.G. COLLEGE, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0029-CHAMELI DEVI DURGA PRASAD GIRLS DEGREE COLLEGE, SONDA, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,,
"0062-M.M. DEGREE COLLEGE, MODINAGAR (GHAZIABAD)","0059-TEJPAL SINGH TYAGI KUSHAL PAL TYAGI MEMORIAL DEGREE COLLEGE, MURADNAGAR, GHAZIABAD",Ghaziabad,M.Com.,M.Com.,I-304,,
